"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,Explore,In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",23,actions:landing_page_view,440,506,0.04308341,0.990918,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Explore home",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",,,8,8,,0.010009,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Explore home",In-app,iPad,inactive,10,Daily,"7-day click or 1-day view",,,0,1,,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Explore home",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",,,136,164,,0.040037,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Profile reels",In-app,Other,inactive,10,Daily,"7-day click or 1-day view",7,actions:landing_page_view,184,261,0.01858866,0.130121,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",185,actions:landing_page_view,1962,2397,0.03890092,7.19667,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Reels",In-app,"Android Tablet",inactive,10,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,3,0,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Reels",In-app,iPad,inactive,10,Daily,"7-day click or 1-day view",4,actions:landing_page_view,24,36,0.03503247,0.14013,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Reels",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",479,actions:landing_page_view,5965,7459,0.04409097,21.119575,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram search results",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",,,0,2,,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Stories",Desktop,Desktop,inactive,10,Daily,"7-day click or 1-day view",4,actions:landing_page_view,72,128,0.03753479,0.150139,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",344,actions:landing_page_view,2690,4404,0.04623471,15.904742,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Stories",In-app,"Android Tablet",inactive,10,Daily,"7-day click or 1-day view",,,0,1,,0.010009,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Stories",In-app,iPad,inactive,10,Daily,"7-day click or 1-day view",2,actions:landing_page_view,24,59,0.11010205,0.220204,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Stories",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",2031,actions:landing_page_view,14461,24831,0.03976113,80.754849,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Stories","Mobile web","Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",,,16,30,,0.020019,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,"Instagram Stories","Mobile web",iPhone,inactive,10,Daily,"7-day click or 1-day view",,,30,30,,0.050046,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Uncategorized,Uncategorized,Uncategorized,Other,inactive,10,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,0,0,0,2025-06-10
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook Notifications",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,9,9,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,16,17,0.03000669,0.030007,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook profile feed",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,2,0,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook profile feed",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,16,18,0.06001338,0.060013,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",1074,actions:landing_page_view,7634,10773,0.03254916,34.957794,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,23,23,0.06001338,0.060013,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook Reels",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",3,actions:landing_page_view,64,87,0.09002007,0.27006,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1820,actions:landing_page_view,15283,20592,0.03421642,62.273885,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook Reels",In-app,Other,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,2,2,0.01000223,0.010002,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,16,16,,0.010002,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Ads on Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,12,,0.020004,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",13,actions:landing_page_view,128,129,0.0330843,0.430096,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Facebook Stories",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",39,actions:landing_page_view,288,420,0.03975245,1.550346,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,Desktop,Desktop,inactive,20,Daily,"7-day click or 1-day view",,,0,16,,0.070016,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",1141,actions:landing_page_view,5473,10019,0.03411804,38.92868,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",6,actions:landing_page_view,76,76,0.04000892,0.240054,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",213,actions:landing_page_view,1264,2038,0.0465362,9.91221,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",4715,actions:landing_page_view,23925,44355,0.04095505,193.103054,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,In-app,iPod,inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,0,4,0.01500335,0.030007,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,In-app,Other,inactive,20,Daily,"7-day click or 1-day view",5,actions:landing_page_view,0,7,0.00800178,0.040009,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,"Mobile web","Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",10,actions:landing_page_view,64,107,0.01800401,0.18004,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,"Mobile web",iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0.010002,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Feed,"Mobile web",iPhone,inactive,20,Daily,"7-day click or 1-day view",9,actions:landing_page_view,176,203,0.04556571,0.410091,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"In-stream reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,9,9,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"In-stream reels",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"In-stream reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,16,34,,0.050011,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Marketplace,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,3,,0.010002,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,Marketplace,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,4,,0.010002,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Right column",Desktop,Desktop,inactive,20,Daily,"7-day click or 1-day view",,,0,4,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Search results",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,5,0.01000223,0.010002,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Search results",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",5,actions:landing_page_view,6,6,0.00200045,0.010002,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Feed: video feeds",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Feed: video feeds",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,1,1,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Feed: video feeds",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,7,7,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Facebook,"Feed: video feeds",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,Feed,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",452,actions:landing_page_view,2609,4168,0.03237447,14.633263,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,Feed,In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,16,16,,0.050011,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,Feed,In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,26,26,0.07001561,0.070016,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,Feed,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",748,actions:landing_page_view,7218,8696,0.03257411,24.365433,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,Feed,In-app,Other,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,Feed,"Mobile web","Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,Explore,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",10,actions:landing_page_view,96,121,0.03200714,0.320071,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,Explore,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",7,actions:landing_page_view,48,179,0.06144227,0.430096,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Explore home",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Explore home",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,52,52,,0.020004,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",288,actions:landing_page_view,2641,3012,0.03250725,9.362087,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram Reels",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,9,9,0.01500335,0.030007,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram Reels",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",9,actions:landing_page_view,48,57,0.02556125,0.230051,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",873,actions:landing_page_view,7970,9815,0.03288247,28.7064,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram search results",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0.010002,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram search results",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,2,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",408,actions:landing_page_view,2369,3802,0.03182082,12.982895,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram Stories",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,0,2,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram Stories",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",3,actions:landing_page_view,32,48,0.04667707,0.140031,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Instagram,"Instagram Stories",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1836,actions:landing_page_view,12819,18316,0.03231113,59.323227,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,Uncategorized,Uncategorized,Uncategorized,Other,inactive,20,Daily,"7-day click or 1-day view",4,actions:landing_page_view,0,0,0,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"Audience Network","Native, banner & interstitial",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",5,actions:landing_page_view,208,520,0.66017493,3.300875,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"Audience Network","Native, banner & interstitial",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,8,8,,0.010003,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"Audience Network","Native, banner & interstitial",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,16,45,,0.020005,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook Notifications",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,12,12,0.27007156,0.270072,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook Notifications",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",3,actions:landing_page_view,128,213,0.73686192,2.210586,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,13,13,0.0200053,0.040011,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook profile feed",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,6,,0.020005,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook profile feed",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,24,24,0.10002651,0.100027,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",17,actions:landing_page_view,1248,1508,0.38010072,6.461712,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,3,3,,0,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook Reels",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,10,,0.050013,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Facebook Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",31,actions:landing_page_view,2913,3302,0.38945804,12.073199,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,223,223,0.10002651,0.100027,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,Facebook,"Ads on Reels",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,0,7,,0,2025-10-04
