"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,In-app,Other,inactive,20,Daily,"7-day click or 1-day view",4,actions:landing_page_view,0,1,0,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,"Mobile web","Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",6,actions:landing_page_view,96,136,0.05666667,0.34,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,"Mobile web",iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,4,,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,"Mobile web",iPhone,inactive,20,Daily,"7-day click or 1-day view",5,actions:landing_page_view,112,149,0.068,0.34,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"In-stream reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,17,17,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"In-stream reels",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"In-stream reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,7,,0.07,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Marketplace,Desktop,Desktop,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Marketplace,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,7,,0.02,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Marketplace,In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Marketplace,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,5,0.01,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Right column",Desktop,Desktop,inactive,20,Daily,"7-day click or 1-day view",,,0,13,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Search results",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Feed: video feeds",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,2,,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Feed: video feeds",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,6,,0.02,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Feed: video feeds",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,4,4,,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,Feed,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",140,actions:landing_page_view,1312,1842,0.04378571,6.13,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,Feed,In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,0,5,,0.03,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,Feed,In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,16,20,0.06,0.06,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,Feed,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",271,actions:landing_page_view,3216,4195,0.04387454,11.89,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,Explore,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,34,34,0.065,0.13,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,Explore,In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,2,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,Explore,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",5,actions:landing_page_view,79,79,0.03,0.15,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Explore home",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,2,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Explore home",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Explore home",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,25,25,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",241,actions:landing_page_view,2576,3227,0.04448133,10.72,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Reels",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,0,10,0.01,0.02,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Reels",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",5,actions:landing_page_view,32,42,0.03,0.15,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",701,actions:landing_page_view,5984,9848,0.04169757,29.23,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram search results",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,2,,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Stories",Desktop,Desktop,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",107,actions:landing_page_view,992,1342,0.04495327,4.81,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Stories",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,0,5,,0.03,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Stories",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,16,31,,0.12,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Instagram,"Instagram Stories",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",466,actions:landing_page_view,3984,6183,0.04212446,19.63,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Uncategorized,Uncategorized,Uncategorized,Other,inactive,20,Daily,"7-day click or 1-day view",3,actions:landing_page_view,0,0,0,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Facebook Notifications",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,3,3,,0.010001,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,3,3,,0.010001,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Facebook profile feed",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,8,17,,0.040004,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",22,actions:landing_page_view,500,589,0.08137146,1.790172,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Facebook Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",45,actions:landing_page_view,560,612,0.04400423,1.98019,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,4,6,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Ads on Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,2,,0.010001,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,2,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Facebook Stories",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,9,0.04000385,0.040004,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,Feed,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",261,actions:landing_page_view,2476,3265,0.06291793,16.421579,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,Feed,In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",3,actions:landing_page_view,24,24,0.02666923,0.080008,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,Feed,In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",55,actions:landing_page_view,576,771,0.08255339,4.540437,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,Feed,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1054,actions:landing_page_view,10809,15584,0.07158184,75.447256,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,Feed,In-app,Other,inactive,20,Daily,"7-day click or 1-day view",3,actions:landing_page_view,0,0,0,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,Feed,"Mobile web","Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,4,4,,0.010001,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,Feed,"Mobile web",iPhone,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,4,6,0.02000192,0.020002,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"In-stream reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"In-stream reels",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,1,1,,0.010001,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"In-stream reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0.010001,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,Marketplace,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Facebook,"Feed: video feeds",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,3,3,,0.020002,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,Feed,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",22,actions:landing_page_view,256,276,0.05591447,1.230118,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,Feed,In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,Feed,In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,Feed,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",13,actions:landing_page_view,264,300,0.09308588,1.210116,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,Explore,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,6,6,0.02000192,0.040004,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,Explore,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,4,6,0,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,"Explore home",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,16,28,,0.050005,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,"Instagram Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",4,actions:landing_page_view,116,125,0.09750938,0.390038,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",3,actions:landing_page_view,12,27,0.04667116,0.140013,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,"Instagram Stories",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",6,actions:landing_page_view,128,145,0.08000769,0.480046,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Instagram,"Instagram Stories","Mobile web","Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,2,2,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,Uncategorized,Uncategorized,Uncategorized,Other,inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,0,0,0,0,2025-09-14
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,Desktop,Desktop,inactive,"Using ad set budget",0,"7-day click or 1-day view",363,reach,363,363,1.15847895,0.420528,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",609,reach,609,845,1.97291982,1.201508,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,"Android Tablet",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,3,,0.010013,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",16,reach,16,20,1.25157101,0.020025,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",4158,reach,4158,4158,1.48334342,6.167742,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,Other,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,1,,0.010013,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web","Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",208,reach,208,257,1.20343366,0.250314,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web",iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,10,,0,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web",iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",463,reach,463,463,1.40565211,0.650817,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",593,reach,593,921,2.34695946,1.391747,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,"Android Tablet",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,2,,0,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",22,reach,22,22,2.27558365,0.050063,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",6572,reach,6572,6598,1.35897911,8.931211,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,iPod,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,1,,0,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,Other,inactive,"Using ad set budget",0,"7-day click or 1-day view",1,reach,1,1,0,0,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",3809,reach,3809,3809,1.27490037,4.856096,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,"Android Tablet",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,7,,0.020025,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",16,reach,16,56,4.38049853,0.070088,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",7325,reach,7325,7740,1.39014085,10.182782,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,Other,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,1,,0,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",6059,reach,6059,7376,1.81280528,10.983787,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,"Android Tablet",inactive,"Using ad set budget",0,"7-day click or 1-day view",16,reach,16,30,3.75471303,0.060075,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",211,reach,211,211,1.32868202,0.280352,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",24204,reach,24204,27642,1.66586563,40.320612,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,iPod,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,1,,0,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,Other,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,1,,0,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",Desktop,Desktop,inactive,"Using ad set budget",0,"7-day click or 1-day view",96,reach,96,144,2.29454685,0.220277,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",337,reach,337,444,1.69352042,0.570716,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",In-app,"Android Tablet",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,2,,0,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",In-app,iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",14,reach,14,14,2.1455503,0.030038,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",5931,reach,5931,6015,1.48390614,8.801047,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories","Mobile web","Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",25,reach,25,25,2.00251362,0.050063,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories","Mobile web",iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,1,,0.010013,2025-07-05
